"","X","X.1","X.2","X.3","X.4","X.5","Budget","Actual.as"
"1","",NA,"Jan","Feb","Mar","Jan‐Mar",NA,""
"2","",NA,"","","","",2020,"% of Budget"
"3","Total Net Revenue",NA,"1263.5","1201.1","902.1","3366.7",NA,""
"4","Gross Domestic Revenue",NA,"597.7","506.5","243.5","1347.7",NA,""
"5","Tax Revenue",NA,"376.2","339.3","146.0","861.4",NA,""
"6","Nontax Revenue",NA,"112.3","137.0","86.6","335.9",NA,""
"7","Earmarked Collections (1)",NA,"109.2","30.2","10.9","150.4",NA,""
"8","Clearance Revenue",NA,"700.5","746.1","717.7","2164.3",NA,""
"9","Tax Refunds (‐)",NA,"34.7","51.5","59.1","145.3",NA,""
"10","Fuel",NA,"30.0","50.0","25.0","105.0",NA,""
"11","Other (2)",NA,"4.7","1.5","34.1","40.3",NA,""
"12","Total Expenditure & Net lending",NA,"1009.0","1198.8","1151.3","3359.1",NA,""
"13","Wages and salaries",221,"533.2","568.4","563.9","1665.5",NA,""
"14","Gov. Social contributions",222,"55.2","55.1","54.9","165.3",NA,""
"15","Use of goods and services",231,"25.8","94.5","95.2","215.5",NA,""
"16","Transfers",232,"160.9","321.4","329.6","812.0",NA,""
"17","Minor capital",233,"0.0","0.2","0.3","0.6",NA,""
"18","Interest",NA,"18.1","5.6","1.8","25.5",NA,""
"19","Domestic",NA,"18.1","5.6","0.7","24.3",NA,""
"20","External",NA,"0.0","0.0","1.1","1.1",NA,""
"21","Net lending  (3)",NA,"106.7","123.2","94.6","324.5",NA,""
"22","Earmarked Payments (1)",NA,"109.2","30.2","10.9","150.4",NA,""
"23","Property Tax",NA,"87.4","16.4","2.2","106.1",NA,""
"24","Transportation Fees",NA,"12.5","12.1","6.7","31.4",NA,""
"25","others",NA,"9.3","1.7","1.9","12.9",NA,""
"26","Current Balance",NA,"254.4","2.3","‐249.2","7.6",NA,""
"27","Development Expenditure",NA,"6.3","65.3","76.4","148.0",NA,""
"28","Balance",NA,"248.1","‐63.0","‐325.5","‐140.4",NA,""
"29","Financing",NA,"‐248.1","63.0","325.5","140.4",NA,""
"30","External Budgetary Support",NA,"0.0","138.4","108.1","246.5",NA,""
"31","Development Financing",NA,"1.7","12.3","17.6","31.7",NA,""
"32","Net Domestic Bank Financing (4)",NA,"‐389.2","‐108.6","38.7","‐459.2",NA,""
"33","Expenditure Arrears (Net Accumulation) (5)",NA,"225.5","155.1","153.3","533.9",NA,""
"34","Clearance Revenue Withheld (6)",NA,"41.9","41.9","‐76.6","7.2",NA,""
"35","Tax Refunds  (Arrears)",NA,"2.9","0.5","27.5","30.9",NA,""
"36","G&S and Dev. Arrears Payments  (stock) (7)",NA,"‐46.9","‐98.5","‐94.0","‐239.5",NA,""
"37","Residual",NA,"‐0.3","5.7","‐2.2","3.3",NA,""
"38","Budget Exchange Rate (NIS/USD)",NA,"","","","",NA,""
"39","Actual Exchange Rate (NIS/USD)",NA,"3.46","3.45","3.55","3.49",NA,""
