"","Social.Affairs","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"1","Ministry of Education","879,298","7 16,654","70,692","37,805","‐","‐","‐","5 4,147"
"2","Ministry of Higher Education and Scientific Research","37,351","2 5,446","2 ,558","1 ,750","‐","4 ,399","‐","3 ,197"
"3","Ministry of Health","352,606","2 25,043","20,361","93,884","‐","‐","7,706","5 ,612"
"4","Ministry of Women's Affairs","2,440","1,377","1 33","8 23","‐","‐","‐","107"
"5","Ministry of Social Affairs","403,047","1 6,530","1 ,787","1 ,679","‐","382,193","‐","858"
"6","Ministry of Information","2,345","1,928","1 94","2 24","‐","‐","‐","‐"
"7","Palestinian Broadcasting Corporation","27,360","1 9,380","1 ,790","6 ,132","‐","‐","5 9","‐"
"8","The Palestinian News Agency ‐ WAFA","4,819","3,902","4 48","4 69","‐","‐","‐","‐"
"9","Al‐Hayat Al‐Jadida Press","6,241","1,410","96","7 27","‐","‐","‐","4 ,007"
"10","Higher Council For Youth And Sports","11,955","8,667","8 61","2 ,427","‐","‐","‐","‐"
"11","Ministry of Culture","5,160","3,696","4 08","6 13","‐","‐","‐","443"
"12","Dar Al Fatwa and Islamic Research","1,827","1,481","1 12","2 34","‐","‐","‐","‐"
"13","The Ministry of Awqaf and Religious Affairs","40,726","3 5,596","3 ,735","1 ,322","‐","‐","7 2","‐"
"14","Ministry of Labor","13,301","1 0,794","1 ,045","1 ,313","‐","‐","‐","149"
"15","Leadership and mastery","100","‐","‐","1 00","‐","‐","‐","‐"
"16","Total","1,788,575","1 ,071,904","1 04,220","1 49,501","‐","3 86,592","7 ,837","68,521"
"17","Grand Total","4,286,817","2 ,235,801","2 20,292","3 04,668","51,195","1 ,271,627","8 ,335","1 94,900"
