"","X","X.1","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","","","","","","",""
"2","","","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","","","",""
"4","President's Office","86,732","6 3,164","6 ,437","1 6,469","‐","‐","339","323"
"5","P.L.O. Institutions","623,881","8 9,738","4 ,185","8 2,529","‐","441,186","112","6 ,131"
"6","Legislative Council","10,445","7 ,950","887","777","‐","832","‐","‐"
"7","Ministers' Council","11,198","4 ,722","346","3 ,689","‐","‐","315","2 ,126"
"8","General Secretariat for the council of ministers","10,198","7 ,695","810","1 ,660","‐","‐","33","‐"
"9","Office of the Deputy Prime Minister","442","233","5","204","‐","‐","‐","‐"
"10","State Audit & Administrative Control Bureau","9,022","6 ,856","776","1 ,389","‐","‐","‐","‐"
"11","General Personnel Office","50,829","4 2,859","5 ,020","2 ,832","‐","‐","89","30"
"12","Ministry of Finance & Planning","120,579","5 4,188","4 ,858","1 1,334","‐","4 2,045","1 ,093","7 ,060"
"13","Ministry of Jerusalem Affairs","35,489","7 ,370","130","299","‐","2 1,229","12","6 ,449"
"14","Non Governmental Organization","22,787","2 ,519","253","429","‐","1 9,586","‐","‐"
"15","Retirees Pension Allowances","1,565,057","190","( 69)","‐","‐","1,564,937","‐","‐"
"16","Public Debt Interest Payments","147,274","‐","‐","‐","147,274","‐","‐","‐"
"17","General Expenditures","9,376","‐","‐","‐","‐","9 ,376","‐","‐"
"18","Financial Reserves","14,099","‐","‐","‐","‐","1 4,099","‐","‐"
"19","General Authority for crossings and borders","88,956","1 1,269","824","2 6,657","‐","‐","529","4 9,678"
"20","Negotiations Affairs Department","1,429","991","103","335","‐","‐","‐","‐"
"21","Embassies","124,885","6 1,910","‐","5 4,096","‐","7 ,908","971","‐"
"22","Central Election Committee","11,180","‐","‐","9 ,552","‐","‐","‐","1 ,628"
"23","Ministry of Interior and National Security","2,402,502","1,862,343","198,933","250,993","‐","‐","2 ,277","8 7,956"
"24","Ministry of Justice","43,666","3 4,066","3 ,784","5 ,305","‐","‐","5","506"
"25","High Judicial Council","74,152","5 6,725","6 ,169","1 0,433","‐","‐","125","699"
"26","Ministry of Foreign Affairs","50,107","4 3,463","2 ,988","2 ,395","‐","‐","27","1 ,234"
"27","Supreme Judge Department","20,003","1 5,916","1 ,531","2 ,227","‐","‐","‐","329"
"28","Supreme Council for Public Procurement Policies","1,526","431","38","110","‐","‐","‐","947"
"29","The Supreme Constitutional Court","3,951","3 ,291","102","550","‐","‐","8","‐"
"30","Total","5,539,769","2 ,377,890","238,111","484,265","147,274","2 ,121,197","5,934","165,098"
"31","Infrastructure Sector","","","","","","","",""
"32","Palestinian Water Authority","89,185","1 1,772","1 ,028","1 5,188","‐","‐","153","6 1,045"
"33","Ministry of Energy and Natural Resources","60,434","2 ,838","244","864","‐","3 6,562","‐","1 9,926"
"34","Ministry of Transportation","33,496","2 5,336","2 ,502","4 ,732","‐","‐","‐","925"
"35","Ministry of Communications and Information Techno","32,845","1 9,494","1 ,731","1 1,120","‐","‐","‐","500"
"36","Ministry of Public Works and Housing","69,242","2 6,737","2 ,711","3 ,366","‐","‐","116","3 6,312"
"37","Ministry of Local Government","93,488","1 6,616","1 ,638","3 ,039","‐","1 3,716","5","5 8,473"
"38","Environmental Quality Authority","11,218","7 ,873","927","832","‐","‐","31","1 ,555"
"39","Total","389,908","110,665","10,781","39,142","‐","50,279","3 05","178,736"
"40","Economic Affairs","","","","","","","",""
"41","Palestinian Central Bureau of Statistics","22,052","9 ,594","1 ,069","3 ,906","‐","‐","‐","7 ,483"
"42","Ministry of Tourism and Antiquities","21,839","1 1,317","975","2 ,387","‐","‐","33","7 ,128"
"43","Land Authority","17,319","1 3,549","1 ,254","2 ,166","‐","‐","11","338"
"44","Ministry of National Economy","32,643","2 6,994","3 ,109","2 ,540","‐","‐","‐","‐"
"45","Industrial Zones Board","3,251","2 ,499","287","308","‐","‐","21","136"
"46","Specifications and Standards Office","7,921","5 ,564","548","1 ,193","‐","‐","178","439"
"47","General Authority for Investment Promotion","1,866","1 ,386","157","308","‐","‐","14","‐"
"48","Ministry of Agriculture","84,287","5 2,128","4 ,693","7 ,561","‐","‐","‐","1 9,906"
"49","Form of Land & Water  intercession","18,868","1 2,081","422","830","‐","‐","0","5 ,535"
"50","Total","210,046","135,112","12,514","21,198","‐","‐","2 57","40,964"
