"","X","X.1","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","","","","","","",""
"2","","","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","","","",""
"4","President's Office","27,538","2 1,186","2 ,166","3 ,865","‐","‐","3 4","286"
"5","P.L.O. Institutions","201,139","2 7,269","1 ,375","22,359","‐","148,620","1","1 ,515"
"6","Legislative Council","3,403","2,583","2 86","2 57","‐","277","‐","‐"
"7","Ministers' Council","4,814","1,688","1 15","1 ,159","‐","‐","6","1 ,846"
"8","General Secretariat for the council of ministers","3,291","2,565","2 71","4 54","‐","‐","1","‐"
"9","Office of the Deputy Prime Minister","132","79","2","52","‐","‐","‐","‐"
"10","State Audit & Administrative Control Bureau","3,007","2,308","2 61","4 38","‐","‐","‐","‐"
"11","General Personnel Office","16,864","1 4,422","1 ,667","7 74","‐","‐","‐","‐"
"12","Ministry of Finance & Planning","32,132","1 8,064","1 ,605","3 ,185","‐","6 ,810","‐","2 ,469"
"13","Ministry of Jerusalem Affairs","5,717","2,464","44","60","‐","3 ,148","‐","‐"
"14","Non Governmental Organization","4,990","862","86","1 35","‐","3 ,907","‐","‐"
"15","Retirees Pension Allowances","457,473","52","‐","‐","‐","457,421","‐","‐"
"16","Public Debt Interest Payments","25,485","‐","‐","‐","2 5,485","‐","‐","‐"
"17","General Expenditures","2,722","‐","‐","‐","‐","2 ,722","‐","‐"
"18","Financial Reserves","957","‐","‐","‐","‐","957","‐","‐"
"19","General Authority for crossings and borders","21,616","4,123","2 71","6 ,055","‐","‐","0","1 1,167"
"20","Negotiations Affairs Department","480","331","33","1 16","‐","‐","‐","‐"
"21","Embassies","36,391","1 8,634","‐","15,531","‐","2 ,226","‐","‐"
"22","Central Election Committee","3,495","‐","‐","2 ,750","‐","‐","‐","745"
"23","Ministry of Interior and National Security","740,393","6 13,082","66,167","33,732","‐","‐","260","2 7,152"
"24","Ministry of Justice","14,196","1 1,465","1 ,267","1 ,276","‐","‐","2","1 87"
"25","Supreme Judicial Council","24,297","1 8,918","2 ,066","2 ,616","‐","‐","‐","697"
"26","Ministry of Foreign Affairs","16,255","1 4,373","1 ,051","5 49","‐","‐","2 2","261"
"27","The Higher Judicial Council","6,632","5,465","5 15","6 30","‐","‐","‐","22"
"28","Supreme Council for Public Procurement Policies","706","145","13","33","‐","‐","‐","516"
"29","The Supreme Constitutional Court","1,303","1,141","34","1 28","‐","‐","‐","‐"
"30","Total","1,655,430","781,219","79,294","96,153","25,485","6 26,089","3 26","46,862"
"31","Infrastructure Sector","","","","","","","",""
"32","Palestinian Water Authority","24,771","4,034","3 45","3 ,267","‐","‐","‐","1 7,126"
"33","Ministry of Energy and Natural Resources","3,856","902","81","2 17","‐","‐","‐","2 ,656"
"34","Ministry of Transportation","10,192","8,499","8 33","8 60","‐","‐","‐","‐"
"35","Ministry of Communications and Information Techno","8,084","6,594","5 84","9 06","‐","‐","‐","‐"
"36","Ministry of Public Works and Housing","19,879","9,022","9 05","9 23","‐","‐","‐","9 ,029"
"37","Ministry of Local Government","23,695","5,568","5 44","7 53","‐","3 ,319","‐","1 3,511"
"38","Environmental Quality Authority","3,469","2,636","3 02","2 54","‐","‐","‐","277"
"39","Total","9 3,947","37,254","3,594","7,179","‐","3,319","‐","42,599"
"40","Economic Affairs","","","","","","","",""
"41","Palestinian Central Bureau of Statistics","7,500","3,179","3 56","1 ,421","‐","‐","‐","2 ,544"
"42","Ministry of Tourism and Antiquities","7,338","3,787","3 24","9 04","‐","‐","2 9","2 ,294"
"43","Land Authority","5,670","4,580","4 19","5 27","‐","‐","1 1","133"
"44","Ministry of National Economy","10,947","9,147","1 ,047","7 53","‐","‐","‐","‐"
"45","Industrial Zones Board","1,013","838","99","76","‐","‐","‐","‐"
"46","Specifications and Standards Office","2,361","1,873","1 84","3 05","‐","‐","‐","‐"
"47","General Authority for Investment Promotion","597","459","53","85","‐","‐","‐","‐"
"48","Ministry of Agriculture","24,860","1 7,673","1 ,578","1 ,725","‐","‐","‐","3 ,883"
"49","Form of Land & Water  intercession","6,447","4,460","1 40","1 92","‐","‐","0","1 ,655"
