"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","Budget","Actual.as"
"1","","","Jan","Feb","Mar Apr",NA,"Q1","Jan‐Apr",NA,""
"2","","","","","",NA,"","",2020,"% of Budget"
"3","Total Net Revenue","","1,224.5","1159.7","1006.2 1265.3",NA,"3390.4","4655.7",NA,""
"4","Gross Domestic Revenue","","597.7","506.5","243.5 127.3",NA,"1347.7","1475.0",NA,""
"5","Tax","","376.2","339.3","146.0 106.7",NA,"861.4","968.2",NA,""
"6","Nontax","","112.3","137.0","86.6  20.0",NA,"335.9","355.8",NA,""
"7","Earmarked Collections (1)","","109.2","30.2","10.9 0.6",NA,"150.4","151.0",NA,""
"8","Clearance Revenue *","","658.6","704.2","794.4 1150.0",NA,"2157.1","3307.1",NA,""
"9","Tax Refunds (‐)","","31.8","51.0","31.6 12.0",NA,"114.4","126.4",NA,""
"10","Fuel","","30.0","50.0","25.0 12.0",NA,"105.0","117.0",NA,""
"11","Other","","1.8","1.0","6.6 0.0",NA,"9.4","9.4",NA,""
"12","Total Expenditure & Net lending","","783.5","1085.7","1028.5 1142.0",NA,"2897.8","4039.7",NA,""
"13","Wages and salaries","","479.3","518.9","512.2 516.7",NA,"1510.4","2027.1",NA,""
"14","Gov. Social contributions","","‐","20.5","20.5 20.5",NA,"41.0","61.5",NA,""
"15","Use of goods and services","##","25.6","67.7","67.8 60.4",NA,"161.1","221.5",NA,""
"16","Transfers","##","159.7","312.6","314.7 450.6",NA,"786.9","1237.5",NA,""
"17","Minor capital","##","‐","0.0","0.0 0.1",NA,"0.0","0.1",NA,""
"18","Interest","","12.3","5.6","2.7 6.7",NA,"20.6","27.3",NA,""
"19","Domestic","","12.3","5.6","1.6 6.7",NA,"19.5","26.2",NA,""
"20","External","","0 .0","0.0","1.1 0.0",NA,"1.1","1.1",NA,""
"21","Net lending  (2)","","106.7","123.2","94.6 86.4",NA,"324.5","410.9",NA,""
"22","Earmarked Payments (1)","","‐","37.2","16.0 0 .6",NA,"53.2","53.7",NA,""
"23","Property Tax","","‐","22.7","11.6 0.0",NA,"34.3","34.3",NA,""
"24","Transportation Fees","","‐","6.2","2.4 0.6",NA,"8.6","9.2",NA,""
"25","Others","","‐","8.2","2.0 0.0",NA,"10.3","10.3",NA,""
"26","Current Balance","","440.9","74.0","‐22.3 123.4",NA,"492.6","616.0",NA,""
"27","Development Expenditures","","6 .2","23.3","45.8 30.4",NA,"75.4","105.8",NA,""
"28","Balance","","434.7","50.6","‐68.1 92.9",NA,"417.2","510.1",NA,""
"29","Financing","","‐434.7","‐50.6","68.1 ‐92.9",NA,"‐417.2","‐510.1",NA,""
"30","External Budgetary Support","","0.0","138.4","108.1 194.3",NA,"246.5","440.7",NA,""
"31","Development Financing","","2.1","12.3","17.6 54.1",NA,"32.1","86.1",NA,""
"32","Net Domestic Bank Financing (3)","","‐389.2","‐108.6","38.7 ‐289.6",NA,"‐459.2","‐748.8",NA,""
"33","G&S and Dev. Arrears Payments  (stock)(4)","","‐46.9","‐98.5","‐94.0 ‐50.5",NA,"‐239.5","‐290.0",NA,""
"34","Residual","","‐0.7","5.7","‐2.2 ‐1.2",NA,"2.9","1.7",NA,""
"35","Budget Exchange Rate (NIS/USD)","","","","",NA,"","",NA,""
"36","Actual Exchange Rate (NIS/USD)","","3.46","3.44","3.54 3.54",NA,"3.48","3.49",NA,""
