"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"2","5. Environmental protection","8,210","6,067","701","594","0",NA,"0","24","824"
"3","Environmental Quality Authority","8,210","6,067","701","594","‐",NA,"‐","24","824"
"4","6. Housing and community amenities","142,552","50,168","4,218","14,756","0",NA,"0","68","73,342"
"5","Ministry of Public Works and Housing","48,288","20,861","2,109","2 ,367","‐",NA,"‐","51","22,901"
"6","Land Authority","13,373","10,597","979","1 ,588","‐",NA,"‐","11","199"
"7","Palestinian Water Authority","66,303","9,184","803","10,227","‐",NA,"‐","5","46,084"
"8","Form of Land & Water  intercession","14,587","9,527","327","574","‐",NA,"‐","0","4,158"
"9","7. Health","763,549","394,928","35,688","288,746","0",NA,"0","21,790","22,396"
"10","Ministry of Health","763,549","394,928","35,688","288,746","‐",NA,"‐","21,790","22,396"
"11","8. Recreation, culture, and religion","185,018","131,446","13,357","28,131","0",NA,"0","336","11,748"
"12","Higher Council For Youth And Sports","23,972","15,124","1,502","6 ,664","‐",NA,"‐","39","642"
"13","Ministry of Culture","9,630","6,476","719","1 ,422","‐",NA,"‐","‐","1,013"
"14","Ministry of Information","4,124","3,324","338","462","‐",NA,"‐","‐","‐"
"15","Palestinian Broadcasting Corporation","50,876","32,746","3,128","14,785","‐",NA,"‐","217","‐"
"16","The Palestinian News Agency ‐ WAFA","8,504","6,781","782","935","‐",NA,"‐","6","‐"
"17","Al‐Hayat Al‐Jadida Press","14,006","2,493","169","1 ,251","‐",NA,"‐","2","10,092"
"18","The Ministry of Awqaf and Religious Affairs","70,620","61,879","6,521","2 ,147","‐",NA,"‐","72","‐"
"19","Dar Al Fatwa and Islamic Research","3,286","2,624","197","465","‐",NA,"‐","‐","‐"
"20","9. Education","1,625,596","1,298,139","128,937","91,354","0",NA,"9,636","3","97,527"
"21","Ministry of Education","1,558,465","1,253,362","124,457","88,026","‐",NA,"‐","3","92,616"
"22","Ministry of Higher Education and Scientific Research","67,131","44,777","4,479","3 ,328","‐",NA,"9,636","‐","4,911"
"23","10. Social protection","1,982,443","31,321","3,374","4,517","0",NA,"1,940,478","22","2,731"
"24","Ministry of Social Affairs","784,308","28,799","3,144","3 ,290","‐",NA,"746,640","22","2,412"
"25","Ministry of Women's Affairs","4,140","2,364","230","1 ,227","‐",NA,"‐","‐","319"
"26","Retirees Pension Allowances","1,193,995","157","‐","‐","‐",NA,"1,193,838","‐","‐"
"27","Totals","8,002,313","3,919,437","386,436","781,279","96,783",NA,"2,389,005","25,580","403,792"
