"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","X.2","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure",NA,"Expenditure","Expenditure"
"2","Ministry of Transportation","17,039","14,099","1,391","1,550","-",NA,"-",NA,"-","-"
"3","Ministry of Communications and Information Technology","13,561","10,885","971","1,446","-",NA,"-",NA,"-","259"
"4","Ministry of Tourism and Antiquities","10,400","6,283","540","1,174","-",NA,"-",NA,"29","2,375"
"5","Ministry of Labor","16,452","13,493","1,306","1,503","-",NA,"-",NA,"-","149"
"6","General Authority for Investment Promotion","1,014","767","88","150","-",NA,"-",NA,"9","-"
"7","Industrial Zones Board","1,826","1,405","164","122","-",NA,"-",NA,"-","136"
"8","5. Environmental protection","5,998","4,390","505","395","0",NA,"0",NA,"0","708"
"9","Environmental Quality Authority","5,998","4,390","505","395","-",NA,"-",NA,"-","708"
"10","6. Housing and community amenities","96,599","37,489","3,015","6,787","0",NA,"0",NA,"62","49,246"
"11","Ministry of Public Works and Housing","35,919","15,019","1,508","1,334","-",NA,"-",NA,"51","18,007"
"12","Land Authority","9,280","7,652","698","785","-",NA,"-",NA,"11","133"
"13","Palestinian Water Authority","40,883","6,593","575","4,328","-",NA,"-",NA,"-","29,386"
"14","Form of Land & Water  intercession","10,517","8,224","233","340","-",NA,"-",NA,"0","1,719"
"15","7. Health","497,682","280,373","25,451","170,639","0",NA,"0",NA,"10,942","10,276"
"16","Ministry of Health","497,682","280,373","25,451","170,639","-",NA,"-",NA,"10,942","10,276"
"17","8. Recreation, culture, and religion","126,873","94,972","9,557","15,622","0",NA,"0",NA,"138","6,585"
"18","Higher Council For Youth And Sports","14,844","10,947","1,077","2,820","-",NA,"-",NA,"-","-"
"19","Ministry of Culture","6,582","4,608","510","830","-",NA,"-",NA,"-","635"
"20","Ministry of Information","2,950","2,390","242","319","-",NA,"-",NA,"-","-"
"21","Palestinian Broadcasting Corporation","34,628","24,032","2,238","8,299","-",NA,"-",NA,"59","-"
"22","The Palestinian News Agency - WAFA","6,032","4,878","560","588","-",NA,"-",NA,"6","-"
"23","Al-Hayat Al-Jadida Press","8,744","1,782","120","892","-",NA,"-",NA,"-","5,951"
"24","The Ministry of Awqaf and Religious Affairs","50,793","44,451","4,669","1,600","-",NA,"-",NA,"72","-"
"25","Dar Al Fatwa and Islamic Research","2,299","1,883","141","275","-",NA,"-",NA,"-","-"
"26","9. Education","1,150,309","925,942","91,562","57,992","0",NA,"5,979",NA,"0","68,836"
"27","Ministry of Education","1,103,840","894,181","88,365","55,797","-",NA,"-",NA,"-","65,497"
"28","Ministry of Higher Education and Scientific Research","46,470","31,761","3,197","2,195","-",NA,"5,979",NA,"-","3,339"
"29","10. Social protection","1,187,234","22,718","2,400","3,225","0",NA,"1,157,314",NA,"0","1,578"
"30","Ministry of Social Affairs","430,461","20,603","2,233","2,206","-",NA,"404,052",NA,"-","1,367"
"31","Ministry of Women's Affairs","3,101","1,705","166","1,019","-",NA,"-",NA,"-","211"
"32","Retirees Pension Allowances","753,673","411","-","-","-",NA,"753,262",NA,"-","-"
"33","Total","5,286,078","2,803,806","275,366","462,117","66,646",NA,"1,423,960",NA,"12,378","241,804"
