"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"2","5. Environmental protection","7,139","5,209","603","531","0",NA,"0","24","772"
"3","Environmental Quality Authority","7,139","5,209","603","531","‐",NA,"‐","24","772"
"4","6. Housing and community amenities","122,587","43,265","3,620","12,753","0",NA,"0","68","62,881"
"5","Ministry of Public Works and Housing","41,639","17,927","1,811","2,090","‐",NA,"‐","51","19,760"
"6","Land Authority","11,368","8,944","839","1,440","‐",NA,"‐","11","133"
"7","Palestinian Water Authority","58,388","7,718","690","8,717","‐",NA,"‐","5","41,258"
"8","Form of Land & Water  intercession","11,193","8,676","280","506","‐",NA,"‐","0","1,730"
"9","7. Health","659,375","332,845","30,553","254,726","0",NA,"0","20,857","20,393"
"10","Ministry of Health","659,375","332,845","30,553","254,726","‐",NA,"‐","20,857","20,393"
"11","8. Recreation, culture, and religion","155,352","111,961","11,461","24,006","0",NA,"0","296","7,629"
"12","Higher Council For Youth And Sports","20,655","12,778","1,290","5,946","‐",NA,"‐","‐","642"
"13","Ministry of Culture","8,162","5,511","615","1,164","‐",NA,"‐","‐","872"
"14","Ministry of Information","3,554","2,833","290","430","‐",NA,"‐","‐","‐"
"15","Palestinian Broadcasting Corporation","42,815","27,647","2,684","12,268","‐",NA,"‐","217","‐"
"16","The Palestinian News Agency ‐ WAFA","7,231","5,785","670","770","‐",NA,"‐","6","‐"
"17","Al‐Hayat Al‐Jadida Press","9,390","1,998","145","1,132","‐",NA,"‐","2","6,114"
"18","The Ministry of Awqaf and Religious Affairs","60,697","53,156","5,599","1,870","‐",NA,"‐","72","‐"
"19","Dar Al Fatwa and Islamic Research","2,848","2,254","169","425","‐",NA,"‐","‐","‐"
"20","9. Education","1,387,056","1,105,166","109,896","80,354","0",NA,"7,220","3","84,417"
"21","Ministry of Education","1,330,217","1,066,695","106,054","77,461","‐",NA,"‐","3","80,005"
"22","Ministry of Higher Education and Scientific Research","56,839","38,472","3,843","2,892","‐",NA,"7,220","‐","4,412"
"23","10. Social protection","1,410,371","26,820","2,893","4,060","0",NA,"1,374,315","22","2,260"
"24","Ministry of Social Affairs","498,911","24,583","2,695","2,898","‐",NA,"466,738","22","1,975"
"25","Ministry of Women's Affairs","3,662","2,015","198","1,162","‐",NA,"‐","‐","286"
"26","Retirees Pension Allowances","907,799","222","‐","‐","‐",NA,"907,577","‐","‐"
"27","Totals","6,440,401","3,316,837","330,593","639,899","74,366",NA,"1,730,548","23,401","324,759"
