"","Social.Affairs","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"1","Ministry of Education","1,095,545","894,181","8 8,365","4 7,502","‐","‐","‐","6 5,497"
"2","Ministry of Higher Education and Scientific Research","46,084","3 1,761","3 ,197","1 ,809","‐","5 ,979","‐","3 ,339"
"3","Ministry of Health","495,571","280,373","2 5,451","168,529","‐","‐","1 0,942","1 0,276"
"4","Ministry of Women's Affairs","3,075","1 ,705","166","993","‐","‐","‐","211"
"5","Ministry of Social Affairs","475,715","2 0,603","2 ,233","1 ,932","‐","449,580","‐","1 ,367"
"6","Ministry of Information","2,922","2 ,390","242","290","‐","‐","‐","‐"
"7","Palestinian Broadcasting Corporation","34,308","2 4,032","2 ,238","7 ,978","‐","‐","59","‐"
"8","The Palestinian News Agency ‐ WAFA","5,962","4 ,878","560","518","‐","‐","6","‐"
"9","Al‐Hayat Al‐Jadida Press","8,727","1 ,782","120","875","‐","‐","‐","5 ,951"
"10","Higher Council For Youth And Sports","14,725","1 0,947","1 ,077","2 ,701","‐","‐","‐","‐"
"11","Ministry of Culture","6,515","4 ,608","510","763","‐","‐","‐","635"
"12","Dar Al Fatwa and Islamic Research","2,272","1 ,883","141","248","‐","‐","‐","‐"
"13","The Ministry of Awqaf and Religious Affairs","50,515","4 4,451","4 ,669","1 ,322","‐","‐","72","‐"
"14","Ministry of Labor","16,296","1 3,493","1 ,306","1 ,347","‐","‐","‐","149"
"15","Leadership and mastery","125","‐","‐","125","‐","‐","‐","‐"
"16","Total","2 ,258,356","1 ,337,087","130,275","236,932","‐","455,558","11,079","87,424"
"17","Grand Total","5 ,422,813","2 ,803,806","275,366","445,204","65,300","1 ,578,955","12,378","241,804"
