"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"2","5. Environmental protection","4,706","3,500","404","331","0",NA,"0","0","471"
"3","Environmental Quality Authority","4,706","3,500","404","331","‐",NA,"‐","‐","471"
"4","6. Housing and community amenities","73,402","29,649","2,412","6,000","0",NA,"0","12","35,330"
"5","Ministry of Public Works and Housing","26,051","11,936","1,206","1 ,108","‐",NA,"‐","‐","11,801"
"6","Land Authority","7,464","6,114","559","647","‐",NA,"‐","11","133"
"7","Palestinian Water Authority","31,501","5,300","460","4 ,002","‐",NA,"‐","‐","21,740"
"8","Form of Land & Water  intercession","8,385","6,299","187","243","‐",NA,"‐","0","1,657"
"9","7. Health","352,606","225,043","20,361","93,884","0",NA,"0","7,706","5,612"
"10","Ministry of Health","352,606","225,043","20,361","93,884","‐",NA,"‐","7,706","5,612"
"11","8. Recreation, culture, and religion","100,433","76,061","7,645","12,147","0",NA,"0","131","4,450"
"12","Higher Council For Youth And Sports","11,955","8,667","861","2 ,427","‐",NA,"‐","‐","‐"
"13","Ministry of Culture","5,160","3,696","408","613","‐",NA,"‐","‐","443"
"14","Ministry of Information","2,345","1,928","194","224","‐",NA,"‐","‐","‐"
"15","Palestinian Broadcasting Corporation","27,360","19,380","1,790","6 ,132","‐",NA,"‐","59","‐"
"16","The Palestinian News Agency ‐ WAFA","4,819","3,902","448","469","‐",NA,"‐","‐","‐"
"17","Al‐Hayat Al‐Jadida Press","6,241","1,410","96","727","‐",NA,"‐","‐","4,007"
"18","The Ministry of Awqaf and Religious Affairs","40,726","35,596","3,735","1 ,322","‐",NA,"‐","72","‐"
"19","Dar Al Fatwa and Islamic Research","1,827","1,481","112","234","‐",NA,"‐","‐","‐"
"20","9. Education","916,648","742,100","73,250","39,555","0",NA,"4,399","0","57,344"
"21","Ministry of Education","879,298","716,654","70,692","37,805","‐",NA,"‐","‐","54,147"
"22","Ministry of Higher Education and Scientific Research","37,351","25,446","2,558","1 ,750","‐",NA,"4,399","‐","3,197"
"23","10. Social protection","1,049,095","17,978","1,920","2,502","0",NA,"1,025,730","0","965"
"24","Ministry of Social Affairs","403,047","16,530","1,787","1 ,679","‐",NA,"382,193","‐","858"
"25","Ministry of Women's Affairs","2,440","1,377","133","823","‐",NA,"‐","‐","107"
"26","Retirees Pension Allowances","643,608","72","‐","‐","‐",NA,"643,536","‐","‐"
"27","Totals","4,286,817","2,235,801","220,292","304,668","51,195",NA,"1,271,627","8,335","194,900"
