"","Social.Affairs","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"1","Ministry of Education","654,024","5 33,145","53,018","29,384","‐","‐","‐","3 8,477"
"2","Ministry of Higher Education and Scientific Research","28,274","1 9,241","1 ,916","1 ,363","‐","3 ,799","‐","1 ,955"
"3","Ministry of Health","252,409","1 69,607","15,278","62,920","‐","‐","6 1","4 ,543"
"4","Ministry of Women's Affairs","1,888","1,025","1 00","6 56","‐","‐","‐","107"
"5","Ministry of Social Affairs","194,462","1 2,447","1 ,339","1 ,347","‐","178,758","‐","571"
"6","Ministry of Information","1,796","1,455","1 46","1 95","‐","‐","‐","‐"
"7","Palestinian Broadcasting Corporation","20,386","1 4,660","1 ,343","4 ,324","‐","‐","5 9","‐"
"8","The Palestinian News Agency ‐ WAFA","3,651","2,945","3 38","3 68","‐","‐","‐","‐"
"9","Al‐Hayat Al‐Jadida Press","3,762","1,070","72","6 00","‐","‐","‐","2 ,021"
"10","Higher Council For Youth And Sports","9,301","6,595","6 47","2 ,059","‐","‐","‐","‐"
"11","Ministry of Culture","3,792","2,773","3 05","5 26","‐","‐","‐","188"
"12","Dar Al Fatwa and Islamic Research","1,412","1,121","84","2 07","‐","‐","‐","‐"
"13","The Ministry of Awqaf and Religious Affairs","30,749","2 6,820","2 ,810","1 ,047","‐","‐","7 2","‐"
"14","Ministry of Labor","10,197","8,115","7 84","1 ,148","‐","‐","‐","149"
"15","Total","1,216,103","801,020","7 8,180","1 06,144","‐","1 82,558","1 92","48,010"
"16","Grand Total","3,032,214","1 ,665,490","1 65,266","2 15,467","25,485","8 11,966","5 58","1 47,981"
