"","Social.Affairs","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"1","Ministry of Education","430,339","3 56,866","35,429","19,185","‐","‐","‐","1 8,859"
"2","Ministry of Higher Education and Scientific Research","16,982","1 3,041","1 ,282","8 44","‐","1 ,382","‐","432"
"3","Ministry of Health","166,609","1 14,464","10,202","39,657","‐","‐","‐","2 ,286"
"4","Ministry of Women's Affairs","885","665","66","1 54","‐","‐","‐","0"
"5","Ministry of Social Affairs","121,743","8,275","8 94","8 68","‐","111,437","‐","268"
"6","Ministry of Information","1,202","968","98","1 36","‐","‐","‐","‐"
"7","Palestinian Broadcasting Corporation","12,794","9,901","8 93","1 ,941","‐","‐","5 9","‐"
"8","The Palestinian News Agency ‐ WAFA","2,451","1,975","2 27","2 49","‐","‐","‐","‐"
"9","Al‐Hayat Al‐Jadida Press","1,083","695","48","3 40","‐","‐","‐","‐"
"10","Higher Council For Youth And Sports","5,787","4,340","4 31","1 ,016","‐","‐","‐","‐"
"11","Ministry of Culture","2,429","1,846","2 03","2 27","‐","‐","‐","152"
"12","Dar Al Fatwa and Islamic Research","895","743","55","9 6","‐","‐","‐","‐"
"13","The Ministry of Awqaf and Religious Affairs","20,644","1 7,920","1 ,878","7 73","‐","‐","7 2","‐"
"14","Ministry of Labor","6,889","5,474","5 23","8 93","‐","‐","‐","‐"
"15","Total","7 90,733","537,175","5 2,231","66,380","‐","1 12,820","1 31","21,996"
"16","Grand Total","1,910,099","1 ,101,555","1 10,343","1 20,306","23,706","4 82,355","2 30","71,605"
